Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60007600;ESCUELA DE EDUCACIÓN PRIMARIA Nº11 EVA PERON;Estatal;Urbano;FRANCISCO DE CASO 560  ;7635;02261;44-0305;6476023;LOBERIA;LOBERIA;escuela11loberia@hotmail.com; pp060011@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60007700;ESCUELA DE EDUCACIÓN PRIMARIA Nº17 JUAN MARTÍN DE PUEYRREDON;Estatal;Rural;RUTA 55. Pje LAS NUTRIAS S/N  LAS NUTRIAS;7635;nan;nan;6476023;LOBERIA;LOBERIA;arluma_230575@live.com; opp0600017@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60007800;JARDÍN DE INFANTES Nº910 CEFERINO NAMUNCURA;Estatal;Urbano;VIVAS 350  ;7635;02261;44-0545;6476023;LOBERIA;LOBERIA;mariadelrosariocoppola@loberia.com.ar; oji0600910@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60007900;JARDÍN DE INFANTES DIVINA PASTORA;Privado;Urbano;ALBERDI (E/ESPAÑA Y AVDA. SAN MARTIN) 50  ;7635;02261;44-2086;6476023;LOBERIA;LOBERIA;analaurab2@hotmail.com; dji0602226@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008000;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº165;Estatal;Urbano;BARREIRA 50  ;7635;02261;44-2053;6476023;LOBERIA;LOBERIA;is060165@gmail.com; is060165@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60008100;CENTRO DE ADULTOS Nº704;Estatal;Urbano;Santa Fe 117  ;1865;02225;48-3993;6778008;SAN VICENTE;SAN VICENTE;adultos703.4@gmail.com; odc0990704@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008200;JARDÍN DE INFANTES Nº904;Estatal;Urbano;CAAGUAZU Y OLIVERA (ESC.60) 950  ;1714;011;4661-2481;6410002;ITUZAINGO;ITUZAINGO;ji136904@abc.gob.ar; ji136904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008300;JARDÍN DE INFANTES SAN JOSE;Privado;Urbano;PTE. PERON/PASO Y D'ELIA 734  ;1663;011;4451-7937;6760004;MUÑIZ;SAN MIGUEL;jardinsanjose@yahoo.com.ar; dji1313129@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008400;INSTITUTO SAN JOSE;Privado;Urbano;AV.PTE.JUAN D.PERON 734  ;1663;011;4451-7937;6760004;MUÑIZ;SAN MIGUEL;institutosanjosemuiz@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60008500;INSTITUTO SAN JOSE;Privado;Urbano;AV. PTE. JUAN D. PERON 734  ;1663;011;4451-7937;6760004;MUÑIZ;SAN MIGUEL;institutosanjosemuia@yahoo.com.ar; dis1314293@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60008700;JARDÍN DE INFANTES ANGEL D'ELIA;Privado;Urbano;FRAGA E/ITALIA Y R. PEÑA 1280  ;1663;011;4451-4414;6760005;SAN MIGUEL;SAN MIGUEL;jardindelia@gmail.com; dji1312380@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008800;JARDÍN DE INFANTES MI CASITA;Privado;Urbano;ALTUBE E/SARMIENTO Y ALEM 1339  ;1665;02221;43-2237;6412001;JOSE C PAZ;JOSE C. PAZ;viviana-benitez@outlook.com; dji1321537@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60008900;ESCUELA DE EDUCACIÓN PRIMARIA Nº27 EDUARDO PERALTA RAMOS;Estatal;Urbano;GARAY 1039  ;7600;0223;451-1374;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;escuelaprimaria27mp@gmail.com; pp043027@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60009000;JARDÍN DE INFANTES Nº920;Estatal;Urbano;22 E/19 Y 17 S/N  LOS ACNTILADOS;7600;0223;467-0655;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;jardin920acantilados@gmail.com; oji0430920@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60009100;ESCUELA DE EDUCACIÓN PRIMARIA Nº39 ROSARIO VERA PEÑALOZA;Estatal;Rural;AUTOVIA 2 KM 383 MAS 10 KM DE CAMINO VECINAL. PARAJE RURAL COLONIA BARRAGAN S/N  COLONIA BARRAGAN;7600;0223;15-680-8552;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;escuelaprimaria39rvp@gmail.com; opp0430039@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60009200;INSTITUTO DE ENSEÑANZA SECUNDARIA ALMAFUERTE;Privado;Urbano;AV.SENADOR MORON 1944  ;1661;011;4666-1394;6760001;BELLA VISTA;SAN MIGUEL;lauramarinadiaz@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60009600;ESCUELA DE EDUCACIÓN PRIMARIA Nº23 ALFONSINA STORNI;Estatal;Urbano;EMILIO LAMARCA Y JUAN NEPPER   LOMAS DE MARILO;1661;011;4468-2095;6760001;BELLA VISTA;SAN MIGUEL;pp131023@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60009700;INSTITUTO PRIVADO JUAN B. ALBERDI;Privado;Urbano;ARIAS E/ SANTA ROSA Y MERLO 3550  ;1712;011;4624-1167;6568001;CASTELAR;MORON;alberdi@vaneduc.edu.ar; dpp1000991@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60009800;JARDÍN MUNICIPAL Nº14 EL HORNERITO;Estatal;Urbano;LEON BLOY Y FLEMMING 630  VILLA ALBERDI;1714;011;4624-6025;6410002;ITUZAINGO;ITUZAINGO;jardin4@hotmail.com; mji1362772@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60009900;JARDÍN DE INFANTES CASITA DE BELEN;Privado;Urbano;PEDRO GOYENA E/ZAPIOLA Y NAVARRO 1990  ;1712;011;4629-0413;6568001;CASTELAR;MORON;inmac_bel@speedy.com.ar; dji1001398@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60010200;ESCUELA DE EDUCACIÓN PRIMARIA Nº75 DR.ADOLFO ALSINA;Estatal;Urbano;PERGAMINO E/ MACHADO Y RAUCH 1549  ;1712;011;4661-1186;6568001;CASTELAR;MORON;ep75adolfoalsina@hotmail.com; pp100075@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010300;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 PAULA ALBARRACIN DE SARMIENTO;Estatal;Urbano;OLIDEN E/ MATHEU Y CASTELLI 1141  ;1665;02320;445739;6412001;JOSE C PAZ;JOSE C. PAZ;pp132003@abc.gov.ar; pp132003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010400;INSTITUTO SAN EDUARDO;Privado;Urbano;CHOPIN 339  BARRIO EL OMBU;1665;02221;43-7240;6412001;JOSE C PAZ;JOSE C. PAZ;primariasaneduardo@gmail.com; dpp1321942@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010500;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 PROVINCIA DE CORRIENTES;Estatal;Rural;RUTA 227 KM. 20 S/N  ;7635;02262;49-9112;6476027;PIERES;LOBERIA;pieresep10@hotmail.com; opp0600010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010600;ESCUELA DE EDUCACIÓN PRIMARIA Nº6 NUESTRA SEÑORA DEL CARMEN;Estatal;Urbano;FRANCISCO GONZALEZ 520  ;7635;02261;443917;6476023;LOBERIA;LOBERIA;loberiaescuelaprimaria6@gmail.com; pp060006@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010800;COLEGIO ARZOBISPO JOSÉ ANTONIO DE SAN ALBERTO;Privado;Urbano;PELLEGRINI E/ MATHEU Y QUINTANA 3762  ;7600;0223;451-0571;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;primaria@institutosanalberto.edu.ar; dpp0430182@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60010900;JARDÍN DE INFANTES SANTA ETHNEA;Privado;Urbano;GASPAR CAMPOS/IRUSTA Y TUCUMAN 881  ;1661;011;4668-2067;6760001;BELLA VISTA;SAN MIGUEL;info@colegiosantaethnea.com.ar; dji1311634@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60011000;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO;Estatal;Urbano;QUINTANA E/ PESOA Y SAAVEDRA 129  ;1865;02225;48-1281;6778008;SAN VICENTE;SAN VICENTE;tecnica2sanvicente@outlook.com; mt099002@abc.gov.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60011100;JARDÍN DE INFANTES Nº909;Estatal;Urbano;OJEDA (E/JACHAL Y LUNA) S/N  BARRIO SAN DAMIAN;1686;011;4665-2954;6408003;WILLIAM C MORRIS;HURLINGHAM;0132ji0909@gmail.com; ji135909@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60011200;INSTITUTO NUESTRA SEÑORA DE LOURDES;Privado;Urbano;JULIAN BALBIN 4574  CASTELAR;1714;011;4621-0922;6410002;ITUZAINGO;ITUZAINGO;elourdes@rec.com.ar; dji1362330@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60011300;INSTITUTO NUESTRA SEÑORA DE LOURDES;Privado;Urbano;JULIAN BALBIN E/ DEL PRETAL Y TABARE 4574  VILLA UDAONDO;1714;011;4621-0922;6410002;ITUZAINGO;ITUZAINGO;elourdes@rcc.com.ar; dpp1360431@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60011400;JARDÍN DE INFANTES Nº905 CAPITAN DE NAVIO F. DOUFOUR;Estatal;Urbano;S.SOMBRA Y ZORILLA DE SAN MARTIN(ESQ) S/N  SANTA RITA;1713;011;4481-5434;6410003;VILLA GOBERNADOR UDAONDO;ITUZAINGO;ji136905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60011600;JARDÍN MUNICIPAL Nº2 JUANA CONSEJERO;Estatal;Urbano;ROCA Y TEL-AVIV S/N  BARRIO SAN ALBERTO;1714;011;4481-2590;6410002;ITUZAINGO;ITUZAINGO;jardinmuni2@hotmail.com; mji1361502@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60011700;INSTITUTO SUPERIOR DE ESTUDIOS PARAMEDICOS;Privado;Urbano;REMEDIOS DE ESCALADA 855  ;1686;011;4452-7422;6408002;HURLINGHAM;HURLINGHAM;estudiosparamedicos@hotmail.com; dis1354796@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60011800;INSTITUTO SUPERIOR SAN JOSÉ DE CALASANZ;Privado;Urbano;JUANA AZURDUY 201  ;1688;011;4459-1360;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;calasanzunesc@ciudad.com.ar; dis1354780@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60011900;ESCUELA DE ADULTOS Nº703;Estatal;Urbano;BRADLEY 301  ;1688;011;4450-0431;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;ode1350703@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60012000;JARDÍN DE INFANTES ESTRELLA DE BELÉN;Privado;Urbano;RICHIERI 1534  ;1686;011;4665-0826;6408002;HURLINGHAM;HURLINGHAM;estrelladebelen@educ.ar; dji1352338@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60012100;INSTITUTO CULTURAL ROCA;Privado;Urbano;RICHIERI 961  ;1686;011;4665-0257/0437;6408002;HURLINGHAM;HURLINGHAM;www.cultural.roca.com.ar; dpp1350434@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60012200;ESCUELA ESPECIAL Nº501;Estatal;Urbano;NECOCHEA 485  JORGE NEWBERY;1686;011;4665-9519;6408002;HURLINGHAM;HURLINGHAM;hurlingham501@yahoo.com.ar; ee135501@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60012300;ESCUELA DE EDUCACIÓN PRIMARIA Nº5 GRANADEROS DE SAN MARTIN;Estatal;Urbano;POTOSI (ESQ. ALBARIOS) 2452  SANTA CLARA;1686;011;4662-2389;6408002;HURLINGHAM;HURLINGHAM;escuelaprimaria5@hotmail.com; pp135005@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60012500;COLEGIO AMERICANO;Privado;Urbano;SANTA ROSA E/ VERDUN Y BRUSELAS 2390  ;1714;011;4624-7430;6410002;ITUZAINGO;ITUZAINGO;colegioamericano@speedy.com.ar; dpp1360652@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60012600;CENTRO EDUCATIVO SIGLO 21;Privado;Urbano;JOSE MARIA PAZ 2667  ;1714;011;4621-0616;6410002;ITUZAINGO;ITUZAINGO;info@siglo21.edu.ar; dpp1363282@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60012700;CENTRO EDUCATIVO SIGLO 21;Privado;Urbano;JOSE MARIA PAZ 2667  ;1714;011;4621-0616;6410002;ITUZAINGO;ITUZAINGO;info@siglo21.edu.ar; dmm1363357@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60012800;JARDÍN DE INFANTES NUESTRA SRA.DE FATIMA;Privado;Urbano;COLONIA 1305  ;1714;011;4458-3410;6410002;ITUZAINGO;ITUZAINGO;jardinfatimaituzaingo@gmail.com; dji1361040@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60012900;ESCUELA NUESTRA SEÑORA DEL PILAR;Privado;Urbano;PASO DE LOS LIBRES 700  ;1714;011;4458-0195;6410002;ITUZAINGO;ITUZAINGO;colegiodelpilar@infovia.com.ar; dpp1360873@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60013000;JARDÍN DE INF. SAN FRANCISCO DE PAULA;Privado;Urbano;AGUARIBAY Y PORTUGAL S/N  BARRIO SAN ALBERTO;1714;011;4481-3307;6410002;ITUZAINGO;ITUZAINGO;jardinsfpaula@gmail.com; dji1361375@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60013100;JARDÍN DE INFANTES MODELO SINDICATO LUZ Y FUERZA;Privado;Urbano;AV. PRESIDENTE PERON 6050  ;1712;011;4623-5023;6568001;CASTELAR;MORON;jardinlyf@yahoo.com.ar; dji1001106@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60013200;INSTITUTO WILLIAM MORRIS;Privado;Urbano;CRISOLOGO LARRALDE 1646  ;1712;011;4629-1543;6568004;MORON;MORON;institutowilliams@hotmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60013300;INSTITUTO WILLIAM MORRIS;Privado;Urbano;C.LARRALDE 1646  ;1712;011;4629-1543;6568001;CASTELAR;MORON;institutowilliammorris@hotmail.com; dpp1000869@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60013400;ESCUELA DE EDUCACIÓN SECUNDARIA Nº7;Estatal;Urbano;GARAY E/ MENDOZA Y VIAMONTE 1039  ;7600;0223;451-8873;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;esecundaria7@gmail.com;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60013500;ESCUELA ALMAFUERTE;Privado;Urbano;AVENIDA SENADOR MORÓN 1944  ;1661;011;4666-1394;6760001;BELLA VISTA;SAN MIGUEL;colegioalmafuerte@gmail.com; dpp1310826@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60013600;COLEGIO LAS MARIAS;Privado;Urbano;RIO COLORADO 1962  ;1661;011;4666-6921;6760001;BELLA VISTA;SAN MIGUEL;lasmarias.secretaria2445@gmail.com; dpp1312445@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60013700;ESCUELA DE EDUCACIÓN PRIMARIA Nº2 BERNARDINO RIVADAVIA;Estatal;Urbano;MUNZON E/ SORDEAUX Y MORENO 618  ;1661;011;4668-2692;6760001;BELLA VISTA;SAN MIGUEL;agmilani@yahoo.com.ar; pp131002@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60013800;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº36;Estatal;Urbano;GELLY OBES 4950  ;1665;02320;33-3710;6412001;JOSE C PAZ;JOSE C. PAZ;isfd36josecpaz@gmail.com; is132036@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60013900;JARDÍN DE INFANTES Nº905 MARIA EMMA ZULOAGA;Estatal;Urbano;BOLIVIA 390  BARRIO EL ALGARROBO;7130;00241;42-5498;6218003;CHASCOMUS;CHASCOMUS;jardinemma@hotmail.com; ji027905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60014000;ESCUELA MUNICIPAL FEDERICO WENCESLAO GANDARA;Estatal;Urbano;INMIGRANTES ARABES 396  BARRIO EL HUECO;7130;02241;43-0943;6218003;CHASCOMUS;CHASCOMUS;federicowgandara@hotmail.com; mpp0272401@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60014100;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 REMEDIOS DE ESCALADA;Estatal;Urbano;BAHIA BLANCA E/ MORENO Y ALMAFUERTE 118  GALLO BLANCO;7130;02241;43-1165;6218003;CHASCOMUS;CHASCOMUS;epn9@chascomus@yahoo.com.ar; opp0270009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60014200;JARDÍN MUNICIPAL Nº1;Estatal;Urbano;STO.CABRAL E/INMIGRANTES ARABES Y PERU S/N  ;7130;02241;43-1100;6218003;CHASCOMUS;CHASCOMUS;jardinmaternalamezoga62@hotmail.com; mji0271489@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60014300;ESCUELA DE EDUCACIÓN PRIMARIA Nº63 GENARO BERON DE ASTRADA;Estatal;Urbano;SALVADOR CURUCHET 2600  ;1712;011;4661-0186;6568001;CASTELAR;MORON;pp100063@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60014400;JARDÍN DE INFANTES Nº925;Estatal;Urbano;PERGAMINO E/CURUCHET Y VILLANUEVA 2344  ;1712;011;4624-6414;6568001;CASTELAR;MORON;ji100925@abc.gov.ar; ji100925@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60014500;JARDÍN DE INFANTES Nº924 MIGUEL LILLO;Estatal;Urbano;ZABALA 2263  ;1712;011;4627-0624;6568001;CASTELAR;MORON;ji100924@abc.gov.ar; ji100924@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60014600;ESCUELA DE EDUCACIÓN PRIMARIA Nº105 REPUBLICA DE ITALIA;Estatal;Urbano;MIGUEL LILLO E/ AVELLANADA Y ARRIETA 2147  ;1706;011;4489-1298;6568001;CASTELAR;MORON;lucia-apa@yahoo.com.ar; pp100105@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60014700;JARDÍN DE INFANTES Nº928;Estatal;Urbano;FARIAS E/ VERGARA Y RANCHOS 2291  ;1712;011;4629-9428;6568001;CASTELAR;MORON;jardin928moron@hotmail.com; ji100928@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60014800;ESCUELA DE EDUCACIÓN PRIMARIA Nº15 NUESTRA SEÑORA DE LAS MERCEDES;Estatal;Urbano;AVDA. VERGARA ESQ. A. FARIAS 352  ;1712;011;4627-3701;6568004;MORON;MORON;gracamerucci@hotmail.com; pp100015@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60014900;JARDÍN DE INFANTES Nº902 DR. FRANCISCO BERRA;Estatal;Urbano;FRANCISCO BERRA Y GUTIERREZ 259  BARRIO PARQUE;1708;011;4627-8468;6568004;MORON;MORON;jardin902moron@hotmail.com; ji100902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60015000;ESCUELA DE EDUCACIÓN PRIMARIA Nº19 WOLF SCHCOLNIK;Estatal;Urbano;SCHCOLNIK (ESQ. PISAGALLI) 419  ;1688;011;4459-4911;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;epb19hurlingham@yahoo.com.ar; pp135019@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60015100;ESCUELA DE EDUCACIÓN PRIMARIA Nº23 DR. JOSÉ INGENIEROS;Estatal;Urbano;HUSARES E/ ZALAZAR Y IBAUBAURO 269  BARRIO ASUNCION;1688;011;4450-3433;6408001;CIUDAD VILLA SANTOS TESEI;HURLINGHAM;epb13523@yahoo.com; pp135023@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60015200;ESCUELA DE EDUCACIÓN PRIMARIA Nº41 REMEDIOS DE ESCALADA DE SAN MARTIN;Estatal;Rural;CUARTEL X   TABLAS;2930;nan;nan;6770034;SAN PEDRO;SAN PEDRO;ep41tablas@yahoo.com.ar; opp0980041@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60015300;INSTITUTO SANTA MARIA;Privado;Urbano;BARTOLOME MITRE 509  ;2946;03329;49-3721;6770011;GOBERNADOR CASTRO;SAN PEDRO;isramariasecundaria@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
